Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2000,FEMALE,GAUTENG,Tiana,10,43
2000,FEMALE,GAUTENG,Hope,10,43
2000,FEMALE,GAUTENG,Violet,10,43
2000,FEMALE,GAUTENG,Blessing,10,43
2000,FEMALE,GAUTENG,Ashley,10,43
2000,FEMALE,GAUTENG,Saniyah,10,43
2000,FEMALE,GAUTENG,Annabelle,10,43
2000,FEMALE,GAUTENG,Kori,10,43
2000,FEMALE,GAUTENG,Sanai,10,43
2000,FEMALE,GAUTENG,Jaliyah,10,43
2000,FEMALE,GAUTENG,Leila,10,43
2000,FEMALE,GAUTENG,Fanta,10,43
2000,FEMALE,GAUTENG,Sanaa,10,43
2000,FEMALE,GAUTENG,Mikayla,10,43
2000,FEMALE,GAUTENG,Milan,10,43
2000,FEMALE,EASTERN CAPE,Isabella,276,1
2000,FEMALE,EASTERN CAPE,Sophia,261,2
2000,FEMALE,EASTERN CAPE,Mia,228,3
2000,FEMALE,EASTERN CAPE,norah,197,4
2000,FEMALE,EASTERN CAPE,Camila,180,5
2000,FEMALE,EASTERN CAPE,Sofia,179,6
2000,FEMALE,EASTERN CAPE,Emily,124,7
2000,FEMALE,EASTERN CAPE,Valentina,119,8
2000,FEMALE,EASTERN CAPE,Abigail,117,9
2000,FEMALE,EASTERN CAPE,Victoria,116,10
2000,FEMALE,EASTERN CAPE,Leah,116,10
2000,FEMALE,EASTERN CAPE,Madison,115,11
2000,FEMALE,EASTERN CAPE,Ava,110,12
2000,FEMALE,EASTERN CAPE,Lwazi,108,13
2000,FEMALE,EASTERN CAPE,Ashley,100,14
2000,FEMALE,EASTERN CAPE,Allison,97,15
2000,FEMALE,EASTERN CAPE,Scarlett,94,16
2000,FEMALE,EASTERN CAPE,Genesis,93,17
2000,FEMALE,EASTERN CAPE,Melanie,87,18
2000,FEMALE,EASTERN CAPE,Brianna,86,19
2000,FEMALE,EASTERN CAPE,Alexa,85,20
2000,FEMALE,EASTERN CAPE,Zoe,83,21
2000,FEMALE,EASTERN CAPE,Hailey,81,22
2000,FEMALE,EASTERN CAPE,Kimberly,81,22
2000,FEMALE,EASTERN CAPE,Samantha,79,23
2000,FEMALE,EASTERN CAPE,Sipho,75,24
2000,FEMALE,EASTERN CAPE,Ariana,73,25
2000,FEMALE,EASTERN CAPE,Arianna,69,26
2000,FEMALE,EASTERN CAPE,Penelope,68,27
2000,FEMALE,EASTERN CAPE,Amelia,66,28
2000,FEMALE,EASTERN CAPE,Alaia,66,28
2000,FEMALE,EASTERN CAPE,MDUDUZI,64,29
2000,FEMALE,EASTERN CAPE,Valerie,61,30
2000,FEMALE,EASTERN CAPE,Maria,60,31
2000,FEMALE,EASTERN CAPE,Gabriella,58,32
2000,FEMALE,EASTERN CAPE,Layla,57,33
2000,FEMALE,EASTERN CAPE,Luna,57,33
2000,FEMALE,EASTERN CAPE,Elizabeth,57,33
2000,FEMALE,EASTERN CAPE,Aaliyah,56,34
2000,FEMALE,EASTERN CAPE,Zoey,55,35
2000,FEMALE,EASTERN CAPE,Gianna,55,35
2000,FEMALE,EASTERN CAPE,Amy,52,36
2000,FEMALE,EASTERN CAPE,Daniela,52,36
2000,FEMALE,EASTERN CAPE,Nicole,51,37
2000,FEMALE,EASTERN CAPE,Sarah,49,38
2000,FEMALE,EASTERN CAPE,Juliette,49,38
2000,FEMALE,EASTERN CAPE,Jade,48,39
2000,FEMALE,EASTERN CAPE,Charlotte,48,39
2000,FEMALE,EASTERN CAPE,Mila,48,39
2000,FEMALE,EASTERN CAPE,Kylie,46,40
2000,FEMALE,EASTERN CAPE,Katherine,46,40
2000,FEMALE,EASTERN CAPE,Bella,45,41
2000,FEMALE,EASTERN CAPE,Grace,44,42
2000,FEMALE,EASTERN CAPE,Riley,44,42
2000,FEMALE,EASTERN CAPE,Gabriela,43,43
2000,FEMALE,EASTERN CAPE,Kayla,42,44
2000,FEMALE,EASTERN CAPE,Alyssa,39,45
2000,FEMALE,EASTERN CAPE,Andrea,39,45
2000,FEMALE,EASTERN CAPE,Ana,39,45
2000,FEMALE,EASTERN CAPE,Aubrey,38,46
2000,FEMALE,EASTERN CAPE,Avery,38,46
2000,FEMALE,EASTERN CAPE,Maya,37,47
2000,FEMALE,EASTERN CAPE,Adriana,37,47
2000,FEMALE,EASTERN CAPE,Amaya,37,47
2000,FEMALE,EASTERN CAPE,Kiara,36,48
2000,FEMALE,EASTERN CAPE,Evelyn,36,48
2000,FEMALE,EASTERN CAPE,Natalia,36,48
2000,FEMALE,EASTERN CAPE,Aria,35,49
2000,FEMALE,EASTERN CAPE,Khloe,35,49
2000,FEMALE,EASTERN CAPE,WILSON,35,49
2000,FEMALE,EASTERN CAPE,Alice,34,50
2000,FEMALE,EASTERN CAPE,Valeria,34,50
2000,FEMALE,EASTERN CAPE,Emely,33,51
2000,FEMALE,EASTERN CAPE,Serenity,33,51
2000,FEMALE,EASTERN CAPE,Isabel,32,52
2000,FEMALE,EASTERN CAPE,Elena,32,52
2000,FEMALE,EASTERN CAPE,Amber,32,52
2000,FEMALE,EASTERN CAPE,Natalie,32,52
2000,FEMALE,EASTERN CAPE,Melissa,32,52
2000,FEMALE,EASTERN CAPE,Leslie,32,52
2000,FEMALE,EASTERN CAPE,Diana,31,53
2000,FEMALE,EASTERN CAPE,Stephanie,31,53
2000,FEMALE,EASTERN CAPE,Angelina,31,53
2000,FEMALE,EASTERN CAPE,Ximena,30,54
2000,FEMALE,EASTERN CAPE,Skylar,30,54
2000,FEMALE,EASTERN CAPE,Emilia,30,54
2000,FEMALE,EASTERN CAPE,Keyla,29,55
2000,FEMALE,EASTERN CAPE,Michelle,29,55
2000,FEMALE,EASTERN CAPE,Mya,28,56
2000,FEMALE,EASTERN CAPE,Eliana,28,56
2000,FEMALE,EASTERN CAPE,Naomi,28,56
2000,FEMALE,EASTERN CAPE,Eva,27,57
2000,FEMALE,EASTERN CAPE,Jazlyn,27,57
2000,FEMALE,EASTERN CAPE,Mariana,27,57
2000,FEMALE,EASTERN CAPE,Aylin,27,57
2000,FEMALE,EASTERN CAPE,Chelsea,27,57
2000,FEMALE,EASTERN CAPE,Ella,27,57
2000,FEMALE,EASTERN CAPE,Kaitlyn,27,57
2000,FEMALE,EASTERN CAPE,Sarai,26,58
2000,FEMALE,EASTERN CAPE,Delilah,26,58
2000,FEMALE,EASTERN CAPE,Alana,26,58
2000,FEMALE,EASTERN CAPE,Lia,25,59
2000,FEMALE,EASTERN CAPE,Alina,25,59
2000,FEMALE,EASTERN CAPE,Amanda,25,59
2000,FEMALE,EASTERN CAPE,Aliyah,25,59
2000,FEMALE,EASTERN CAPE,Sara,25,59
2000,FEMALE,EASTERN CAPE,Vanessa,24,60
2000,FEMALE,EASTERN CAPE,Jayleen,24,60
2000,FEMALE,EASTERN CAPE,Alison,24,60
2000,FEMALE,EASTERN CAPE,Ruby,24,60
2000,FEMALE,EASTERN CAPE,Jasmine,24,60
2000,FEMALE,EASTERN CAPE,Violet,23,61
2000,FEMALE,EASTERN CAPE,Antonella,23,61
2000,FEMALE,EASTERN CAPE,Alexandra,23,61
2000,FEMALE,EASTERN CAPE,Jocelyn,23,61
2000,FEMALE,EASTERN CAPE,Amaia,23,61
2000,FEMALE,EASTERN CAPE,Juliana,22,62
2000,FEMALE,EASTERN CAPE,Juliet,22,62
2000,FEMALE,EASTERN CAPE,Liliana,22,62
2000,FEMALE,EASTERN CAPE,Sophie,22,62
2000,FEMALE,EASTERN CAPE,Leilani,22,62
2000,FEMALE,EASTERN CAPE,Angelica,22,62
2000,FEMALE,EASTERN CAPE,Melany,22,62
2000,FEMALE,EASTERN CAPE,Brittany,22,62
2000,FEMALE,EASTERN CAPE,Briana,21,63
2000,FEMALE,EASTERN CAPE,Jayla,21,63
2000,FEMALE,EASTERN CAPE,Maia,21,63
2000,FEMALE,EASTERN CAPE,Audrey,21,63
2000,FEMALE,EASTERN CAPE,London,21,63
2000,FEMALE,EASTERN CAPE,Danna,21,63
2000,FEMALE,EASTERN CAPE,Athena,21,63
2000,FEMALE,EASTERN CAPE,Amalia,20,64
2000,FEMALE,EASTERN CAPE,Autumn,20,64
2000,FEMALE,EASTERN CAPE,Julianna,20,64
2000,FEMALE,EASTERN CAPE,Rose,20,64
2000,FEMALE,EASTERN CAPE,Selena,20,64
2000,FEMALE,EASTERN CAPE,Lauren,20,64
2000,FEMALE,EASTERN CAPE,Aurora,20,64
2000,FEMALE,EASTERN CAPE,Destiny,20,64
2000,FEMALE,EASTERN CAPE,Nova,20,64
2000,FEMALE,EASTERN CAPE,Sherlyn,20,64
2000,FEMALE,EASTERN CAPE,Jessica,20,64
2000,FEMALE,EASTERN CAPE,Julia,19,65
2000,FEMALE,EASTERN CAPE,Helen,19,65
2000,FEMALE,EASTERN CAPE,Daniella,19,65
2000,FEMALE,EASTERN CAPE,Alondra,19,65
2000,FEMALE,EASTERN CAPE,Stella,19,65
2000,FEMALE,EASTERN CAPE,Jazmin,19,65
2000,FEMALE,EASTERN CAPE,Jennifer,19,65
2000,FEMALE,EASTERN CAPE,April,18,66
2000,FEMALE,EASTERN CAPE,Bianca,18,66
2000,FEMALE,EASTERN CAPE,Miranda,18,66
2000,FEMALE,EASTERN CAPE,Lily,18,66
2000,FEMALE,EASTERN CAPE,Angie,18,66
2000,FEMALE,EASTERN CAPE,Arya,18,66
2000,FEMALE,EASTERN CAPE,Giselle,18,66
